episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
1,269.928464,-269.418123,0.002633,72748.801823,-2.492301,0.003181,30,15.167239
2,251.827054,-251.316718,-0.003012,63104.277344,-2.492185,0.001125,30,27.501368
3,229.389244,-228.878914,-0.001118,52242.720443,-2.491792,0.004051,30,44.003352
4,213.180202,-212.669872,0.000517,44986.948568,-2.492869,0.000344,30,61.681381
5,204.225487,-203.715157,-0.000053,41081.696484,-2.491898,0.002286,30,80.474939
6,202.357222,-201.846892,-0.005069,40252.399523,-2.490475,0.003049,18,95.153714
7,168.569821,-168.059491,-0.001940,27704.717969,-2.490441,0.003406,30,108.812138
8,158.224596,-157.714265,0.002518,24245.297786,-2.489290,0.000898,30,120.880059
9,150.482155,-149.971825,0.000707,21781.723568,-2.488252,0.004434,30,131.790227
10,148.932466,-148.422136,-0.000836,21201.363607,-2.488950,0.002863,30,142.719463
11,148.212065,-147.701735,0.000403,20878.834701,-2.490406,0.003601,30,154.564905
12,127.705023,-127.194693,0.000181,15273.103613,-2.491884,0.001219,30,167.571069
13,129.184134,-128.673804,0.001020,15571.154232,-2.492674,0.003469,30,178.678321
14,114.886428,-114.376098,-0.002488,12112.810417,-2.492099,0.003367,30,190.160002
15,110.493183,-109.982853,-0.000950,11111.437435,-2.492646,0.003420,30,200.786686
16,103.623387,-103.113057,-0.005702,9671.698618,-2.493393,0.003251,13,211.066506
17,87.399805,-86.889475,-0.005073,6706.782994,-2.493787,0.003213,14,221.422635
18,78.187613,-77.677283,0.003148,5256.747038,-2.494046,0.004723,30,232.144386
19,66.869040,-66.358710,-0.003998,3704.190438,-2.494817,0.003609,30,242.127776
20,61.410280,-60.899950,0.001885,3050.595808,-2.494760,0.002943,14,252.579357
21,54.175597,-53.665266,-0.002601,2285.215454,-2.494545,0.004897,30,263.289627
22,48.752798,-48.242467,-0.001376,1781.747172,-2.494512,0.003064,12,273.817801
23,42.126328,-41.615998,-0.004204,1261.457575,-2.494740,0.003979,11,284.988253
24,36.331283,-35.820953,0.002265,877.506186,-2.494980,0.003616,14,295.536130
25,29.875237,-29.364905,0.000007,530.282635,-2.495186,0.002878,19,305.773927
26,27.154991,-26.644659,-0.002360,408.844011,-2.495731,0.002800,11,315.419372
27,23.429493,-22.919161,-0.009525,268.204606,-2.496129,0.004981,11,326.103350
28,21.342782,-20.832450,-0.006462,200.226020,-2.496522,0.004515,30,336.752903
29,17.878415,-17.368083,0.003180,109.882311,-2.496630,0.001063,30,347.107195
30,19.669448,-19.159116,-0.000104,145.608603,-2.495559,0.001955,30,357.787052
31,17.861449,-17.351117,0.000893,102.065788,-2.494290,0.004928,30,370.030588
32,15.575000,-15.064668,-0.000070,58.369411,-2.495134,0.004184,19,382.365014
33,12.999915,-12.489583,-0.000345,24.821215,-2.495418,0.003090,12,393.501287
34,11.129948,-10.619616,0.000759,8.905395,-2.496806,0.004425,30,406.276900
35,10.058491,-9.548159,0.000372,3.280557,-2.498311,0.004498,30,417.157391
36,9.674750,-9.164418,-0.003832,1.773381,-2.498835,0.003851,14,428.115584
37,7.696366,-7.186034,0.000793,0.844886,-2.499237,0.003350,19,439.721736
38,6.596245,-6.085913,0.000507,3.625998,-2.499544,0.004220,30,450.800198
39,5.821494,-5.311162,-0.009536,6.390982,-2.498912,0.003065,12,461.823665
40,5.528727,-5.018395,-0.000477,7.249068,-2.499670,0.003626,30,473.139767
41,4.735637,-4.225305,-0.000925,10.856193,-2.500657,0.005199,30,484.585898
42,3.841256,-3.330924,-0.000525,16.016397,-2.501112,0.003329,30,495.473128
43,3.522748,-3.012417,-0.002011,17.399012,-2.501871,0.003276,16,507.140033
44,2.916254,-2.405922,-0.001017,21.407597,-2.501509,0.003984,30,520.198230
45,2.440750,-1.930418,-0.001453,23.980498,-2.499858,0.002383,30,532.436940
46,2.494162,-1.983830,-0.004169,21.385237,-2.495930,0.001375,30,543.207311
47,2.666280,-2.155948,0.004611,17.735053,-2.495307,0.003005,30,554.063782
48,2.428001,-1.917669,0.001404,17.441414,-2.498896,0.002752,30,565.194871
49,2.350321,-1.839990,-0.001454,16.226958,-2.500179,0.002941,12,576.068040
50,2.089262,-1.578930,-0.000530,17.186143,-2.500221,0.004451,12,587.405894
51,1.812964,-1.302632,-0.001204,17.724425,-2.499268,0.003451,20,598.957366
52,1.695604,-1.185272,-0.001723,16.057369,-2.497956,0.003807,20,610.504494
53,1.493095,-0.982763,0.001789,14.769693,-2.497201,0.004326,19,621.628909
54,1.618208,-1.107876,-0.001693,11.076920,-2.497994,0.003964,20,633.328937
55,1.506502,-0.996170,-0.000060,9.543412,-2.497371,0.002829,13,643.978851
56,1.359763,-0.849432,-0.003035,7.599895,-2.497590,0.004205,30,654.497613
57,1.256696,-0.746364,-0.000167,4.219909,-2.499957,0.004969,30,665.164402
58,1.118672,-0.608340,-0.004777,1.495832,-2.501760,0.001707,30,677.224738
59,1.147020,-0.636688,0.000386,0.107966,-2.499551,0.001807,30,688.648099
60,1.135035,-0.624703,0.000264,0.012052,-2.499242,0.001462,30,698.836235
61,1.114309,-0.603977,0.000888,0.008607,-2.498700,0.003497,30,709.937884
62,1.036322,-0.525990,-0.004718,0.006832,-2.499343,0.005177,30,721.537710
63,1.095180,-0.584848,0.003719,0.006989,-2.499832,0.001982,30,733.151974
64,1.049779,-0.539447,0.001556,0.004370,-2.497959,0.004193,30,743.688828
65,0.964671,-0.454339,-0.003793,0.004288,-2.497104,0.003011,30,754.820626
66,0.873045,-0.362713,0.001881,0.003513,-2.495592,0.001430,30,765.649460
67,0.877314,-0.366983,-0.000374,0.001397,-2.494210,0.002088,30,776.665484
68,0.881697,-0.371365,0.000605,0.001100,-2.492235,0.002616,30,788.914627
