episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
78,0.000698,0.817127,0.000040,0.001233,-0.052025,0.003879,19,678.194247
79,0.000905,0.763039,-0.000226,0.003518,-0.050383,0.003261,10,687.725065
80,0.000776,0.796890,-0.000062,0.001839,-0.048961,0.002432,16,697.476484
81,0.000890,0.766981,0.000041,0.001685,-0.046824,0.003691,30,707.215377
82,0.000801,0.790347,-0.000030,0.001477,-0.044761,0.003335,17,716.839868
83,0.000903,0.763467,0.000012,0.001699,-0.043479,0.003339,11,726.373248
84,0.001084,0.716100,-0.000287,0.002955,-0.042529,0.004016,9,735.772922
85,0.001289,0.662551,-0.000082,0.003875,-0.040760,0.003455,30,745.560900
86,0.001405,0.632156,-0.000177,0.006229,-0.039419,0.003292,6,754.831292
87,0.001096,0.712976,-0.000679,0.007905,-0.039095,0.005611,5,764.569670
88,0.000841,0.779770,-0.000491,0.013913,-0.038782,0.005682,5,773.138385
89,0.000731,0.808520,0.000159,0.009971,-0.038392,0.004069,5,780.936966
90,0.000725,0.810087,0.000055,0.002836,-0.036754,0.004902,30,790.628449
91,0.000690,0.819210,-0.000196,0.002107,-0.034921,0.003171,9,800.208865
92,0.000634,0.834075,0.000054,0.001431,-0.034072,0.004699,8,809.667320
93,0.000725,0.810215,0.000011,0.001302,-0.032681,0.004094,19,819.008237
94,0.000819,0.785536,-0.000068,0.001477,-0.030276,0.001184,30,828.735343
95,0.000749,0.803816,-0.000128,0.001189,-0.027871,0.003309,13,838.945448
96,0.000904,0.763331,0.000088,0.003751,-0.026730,0.003419,9,848.536507
97,0.000858,0.775221,-0.000065,0.000944,-0.024695,0.003903,30,858.633034
98,0.001118,0.707241,-0.000180,0.005636,-0.022675,0.002735,9,868.371841
99,0.000929,0.756832,-0.000099,0.001975,-0.021908,0.004265,6,877.998520
100,0.000878,0.770038,-0.000112,0.002084,-0.020415,0.003321,19,887.864538
101,0.001047,0.725762,-0.000210,0.002423,-0.018350,0.002854,16,897.538950
102,0.001030,0.730278,-0.000011,0.001231,-0.015831,0.004466,30,907.135191
103,0.001009,0.735790,-0.000225,0.000680,-0.013424,0.003674,14,916.981823
104,0.001146,0.699886,-0.000522,0.003820,-0.012155,0.002912,10,926.348071
105,0.001255,0.671406,-0.000129,0.000994,-0.010418,0.003016,30,936.301592
106,0.001275,0.666238,-0.000147,0.001682,-0.008554,0.003127,10,945.247251
107,0.001235,0.676726,-0.000059,0.001566,-0.007789,0.004149,7,954.193501
108,0.001346,0.647470,-0.000133,0.002567,-0.007175,0.003781,7,963.502133
109,0.001217,0.681287,-0.000017,0.002007,-0.006459,0.004292,11,973.336949
110,0.001280,0.664830,-0.000108,0.002161,-0.004264,0.002785,30,983.642423
111,0.001326,0.652650,0.000089,0.001661,-0.002023,0.002938,8,993.458381
112,0.001126,0.705157,-0.000037,0.002901,-0.001356,0.003690,5,1003.009743
113,0.001310,0.656923,0.000024,0.001840,-0.000745,0.004131,7,1012.688463
114,0.001337,0.649886,-0.000271,0.001079,0.001217,0.005212,30,1022.681142
115,0.001535,0.598040,-0.000182,0.002185,0.004188,0.004192,30,1031.698562
116,0.001447,0.621051,0.000024,0.003660,0.005974,0.003685,9,1041.250078
117,0.001311,0.656723,-0.000028,0.003656,0.006638,0.004123,7,1050.841173
118,0.001261,0.669905,-0.000073,0.001533,0.008238,0.002973,30,1061.173394
119,0.001209,0.683442,-0.000071,0.002184,0.011463,0.002348,30,1071.083014
120,0.001354,0.645321,-0.000405,0.004187,0.013275,0.003241,9,1080.910959
121,0.001465,0.616494,-0.000633,0.004562,0.014258,0.003087,10,1090.058684
122,0.001427,0.626328,0.000087,0.003938,0.015109,0.005084,6,1099.199849
123,0.001432,0.624923,0.000199,0.003581,0.015893,0.002904,12,1108.185113
124,0.001513,0.603789,0.000239,0.005511,0.016729,0.004477,9,1117.337186
125,0.001612,0.577847,-0.000215,0.006426,0.017485,0.003341,10,1126.558776
126,0.001557,0.592288,0.000014,0.003563,0.018418,0.003456,9,1136.071378
127,0.001544,0.595681,-0.000082,0.001966,0.019657,0.002864,14,1143.942928
128,0.001421,0.627776,-0.000003,0.003234,0.021584,0.003552,30,1153.607279
129,0.001338,0.649612,-0.000371,0.002254,0.023415,0.003421,12,1162.891627
130,0.001399,0.633711,-0.000385,0.003961,0.024620,0.003083,11,1172.306926
