episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
78,0.099619,0.955095,-0.000517,0.001152,-2.404496,0.003467,17,98.780265
79,0.111084,0.943630,-0.000091,0.000967,-2.402970,0.002163,30,100.141746
80,0.094986,0.959727,-0.000141,0.001366,-2.401468,0.004375,19,101.317446
81,0.130292,0.924421,-0.000179,0.001820,-2.399954,0.003672,30,102.660452
82,0.105164,0.949549,-0.000101,0.001070,-2.397924,0.002857,30,104.022354
83,0.162577,0.892136,-0.000924,0.005897,-2.396416,0.004424,15,105.175627
84,0.101651,0.953062,0.000118,0.002261,-2.395523,0.001731,30,106.493761
85,0.163805,0.890909,-0.000287,0.002533,-2.393688,0.002746,30,108.025523
86,0.111331,0.943382,-0.000340,0.001541,-2.391703,0.004094,25,109.347402
87,0.081394,0.973320,-0.000301,0.000849,-2.389623,0.004180,30,110.679767
88,0.090793,0.963920,-0.000334,0.001257,-2.387340,0.003173,30,112.145964
89,0.097125,0.957588,0.000059,0.000696,-2.384993,0.002945,30,113.568465
90,0.138866,0.915847,-0.000189,0.000928,-2.382359,0.003432,30,114.982157
91,0.142504,0.912209,0.000011,0.001377,-2.379825,0.002395,30,116.485388
92,0.198960,0.855753,-0.000199,0.002561,-2.376945,0.005714,30,117.810593
93,0.121141,0.933572,-0.000553,0.002744,-2.374573,0.003030,16,119.134742
94,0.159069,0.895644,-0.000645,0.006315,-2.373580,0.004176,7,120.327630
95,0.108246,0.946467,0.000563,0.002692,-2.373054,0.004496,6,121.497392
96,0.092826,0.961887,-0.000402,0.002889,-2.372569,0.004291,8,122.650164
97,0.072486,0.982227,-0.000203,0.001040,-2.371918,0.004447,11,123.785948
98,0.065165,0.989548,-0.000058,0.000535,-2.370267,0.001890,30,125.087612
99,0.069613,0.985100,-0.000116,0.000352,-2.367804,0.000763,30,126.419643
100,0.061800,0.992914,-0.000246,0.000457,-2.365709,0.003232,21,127.688532
101,0.073228,0.981485,-0.000013,0.000466,-2.363625,0.003736,26,129.069331
102,0.099107,0.955607,-0.000270,0.001733,-2.361891,0.003315,16,130.263246
103,0.079472,0.975241,0.000084,0.000587,-2.359975,0.001678,30,131.561671
