episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
77,0.243856,0.266475,-0.000001,0.001378,-2.439067,0.001543,30,382.033027
78,0.216966,0.293366,0.000026,0.001767,-2.437314,0.000933,30,387.117837
79,0.230909,0.279423,-0.000130,0.002351,-2.435812,0.002986,25,391.958810
80,0.206602,0.303730,-0.000286,0.002177,-2.434249,0.000746,30,397.037646
81,0.212370,0.297962,-0.000074,0.000939,-2.432166,0.003292,30,402.069194
82,0.231281,0.279051,-0.000331,0.002313,-2.429842,0.001139,30,407.099990
83,0.210835,0.299497,-0.000058,0.001085,-2.427382,0.000948,30,412.180094
84,0.234585,0.275747,0.000016,0.002605,-2.425241,0.004536,30,417.239672
85,0.216164,0.294168,-0.000010,0.001226,-2.423493,0.001195,30,422.326805
86,0.211062,0.299270,0.000072,0.001208,-2.421469,0.000437,30,427.343421
87,0.208590,0.301741,-0.000152,0.002117,-2.418969,0.004787,30,432.459376
88,0.207611,0.302721,-0.000004,0.000987,-2.416652,0.002164,30,437.481256
89,0.201272,0.309060,-0.000150,0.001215,-2.414872,0.002778,23,442.492104
90,0.190646,0.319686,-0.000300,0.001302,-2.412899,0.004349,30,447.610983
91,0.194867,0.315465,-0.000025,0.001154,-2.410519,0.003225,26,452.652211
92,0.235162,0.275170,-0.000030,0.001778,-2.408243,0.001360,30,457.693678
93,0.237424,0.272908,-0.000022,0.000827,-2.406023,0.000150,30,462.669161
94,0.246795,0.263536,-0.000212,0.001153,-2.403833,0.003044,27,467.618833
95,0.208869,0.301463,-0.000051,0.001106,-2.401507,0.000995,30,472.592620
96,0.226488,0.283844,0.000010,0.001243,-2.398993,0.001628,30,477.700119
97,0.204659,0.305673,-0.000096,0.001001,-2.396489,0.000621,30,482.786827
98,0.184830,0.325502,-0.000108,0.000698,-2.393923,0.001314,30,487.827116
99,0.219209,0.291122,0.000045,0.001338,-2.391446,0.001516,30,492.908158
100,0.194775,0.315557,-0.000143,0.002270,-2.389817,0.003079,15,497.811591
101,0.186433,0.323898,0.000019,0.001212,-2.388078,0.004131,30,502.889760
102,0.180599,0.329733,-0.000059,0.000605,-2.385745,0.001241,30,507.963461
103,0.178714,0.331618,0.000021,0.000838,-2.382888,0.000156,30,513.111471
104,0.188157,0.322175,-0.000121,0.000855,-2.380132,0.001314,30,518.194472
105,0.191588,0.318744,0.000018,0.001154,-2.377206,0.003185,30,523.334901
106,0.236666,0.273666,-0.000063,0.001499,-2.374204,0.001771,30,528.456720
107,0.192707,0.317624,-0.000110,0.001428,-2.371430,0.000575,30,533.593694
108,0.199375,0.310957,-0.000060,0.001346,-2.369100,0.000948,30,538.771038
109,0.189868,0.320464,0.000021,0.000636,-2.366751,0.000259,30,543.767879
110,0.171550,0.338782,-0.000037,0.001217,-2.364272,0.001340,30,548.890214
111,0.182853,0.327479,-0.000066,0.002111,-2.361523,0.000302,30,553.935729
112,0.180311,0.330021,-0.000063,0.000623,-2.358974,0.001026,30,559.031790
113,0.173735,0.336597,0.000001,0.001041,-2.356135,0.002099,30,564.166083
114,0.187261,0.323070,-0.000045,0.001047,-2.352983,0.001477,30,569.237098
115,0.184222,0.326110,-0.000008,0.000940,-2.349902,0.001507,30,574.356886
116,0.179514,0.330817,-0.000014,0.000503,-2.346926,0.002246,30,579.449791
117,0.221694,0.288638,-0.000198,0.003354,-2.344712,0.002828,18,584.380929
118,0.177267,0.333065,-0.000001,0.001875,-2.342811,0.000728,30,589.500740
119,0.173546,0.336786,0.000003,0.000763,-2.339937,0.002551,30,594.588574
120,0.177625,0.332706,0.000075,0.000565,-2.336856,0.001287,30,599.661861
121,0.187700,0.322632,-0.000001,0.001955,-2.334059,0.002269,30,604.719855
122,0.187353,0.322978,-0.000003,0.000727,-2.331198,0.002206,30,609.790118
123,0.177079,0.333253,-0.000136,0.000713,-2.328305,0.001382,30,614.857449
124,0.189551,0.320781,-0.000006,0.001081,-2.325691,0.000344,30,619.944650
125,0.151871,0.358461,-0.000018,0.000842,-2.323305,0.001257,30,625.130273
126,0.169605,0.340727,-0.000077,0.000956,-2.320642,0.000341,30,630.173819
127,0.181378,0.328954,0.000064,0.001194,-2.318146,0.000034,30,635.264944
128,0.187570,0.322762,-0.000101,0.000505,-2.315497,0.001289,30,640.326022
129,0.176720,0.333612,-0.000098,0.000374,-2.312729,0.000659,30,645.473055
130,0.188908,0.321424,-0.000007,0.000754,-2.310085,0.000260,30,650.733386
131,0.186383,0.323949,-0.000316,0.001902,-2.307432,0.004119,30,655.901704
132,0.168466,0.341866,-0.000230,0.001752,-2.305150,0.001113,30,661.041475
133,0.172089,0.338243,-0.000119,0.000412,-2.302767,0.002212,30,666.110319
134,0.197801,0.312531,-0.000029,0.000871,-2.300064,0.001024,30,671.162907
135,0.191911,0.318421,0.000042,0.001210,-2.297333,0.002987,30,676.219469
136,0.185110,0.325222,0.000049,0.001374,-2.294539,0.002795,30,681.202487
137,0.212363,0.297969,0.000040,0.002160,-2.292152,0.003092,24,686.175119
138,0.186665,0.323667,-0.000145,0.000645,-2.289994,0.003970,25,691.167393
139,0.164813,0.345519,-0.000113,0.001559,-2.287766,0.002956,19,696.153278
140,0.190826,0.319506,-0.000111,0.000648,-2.285169,0.000813,30,701.232219
141,0.166470,0.343862,-0.000162,0.000675,-2.282117,0.001029,30,706.307463
142,0.177133,0.333199,-0.000127,0.000656,-2.279298,0.000573,30,711.391723
143,0.182410,0.327922,-0.000046,0.000272,-2.276515,0.000606,30,716.447343
144,0.177270,0.333061,-0.000023,0.000417,-2.273769,0.001082,30,721.547880
145,0.172985,0.337347,0.000014,0.000502,-2.270970,0.000337,30,726.642579
146,0.179242,0.331090,-0.000081,0.000739,-2.268107,0.000201,30,731.751903
147,0.170475,0.339857,-0.000075,0.000630,-2.265058,0.002818,30,736.840936
148,0.193973,0.316359,0.000007,0.000258,-2.262050,0.000237,30,741.943181
149,0.167480,0.342852,-0.000049,0.001872,-2.259331,0.000018,30,747.054888
150,0.176815,0.333517,-0.000252,0.000842,-2.256701,0.003088,28,752.170591
151,0.173475,0.336856,-0.000037,0.000912,-2.253700,0.001045,30,757.274383
152,0.177817,0.332515,-0.000158,0.000357,-2.250597,0.001466,30,762.310314
153,0.179561,0.330771,0.000113,0.001676,-2.247873,0.003555,25,767.320748
154,0.164723,0.345609,0.000034,0.001112,-2.245230,0.001207,30,772.383876
155,0.190670,0.319662,-0.000077,0.001519,-2.242439,0.002784,28,777.445314
156,0.176445,0.333886,-0.000112,0.000718,-2.239546,0.001769,30,782.488787
157,0.181347,0.328985,0.000063,0.002181,-2.236485,0.000419,30,787.600115
158,0.186806,0.323526,-0.000023,0.000310,-2.233331,0.001297,30,792.637954
159,0.182064,0.328268,-0.000019,0.000377,-2.230559,0.000220,30,797.714144
160,0.183086,0.327245,-0.000108,0.001129,-2.227730,0.000868,30,802.755031
161,0.167722,0.342610,-0.000165,0.001432,-2.225167,0.002852,23,807.704751
162,0.192615,0.317717,0.000059,0.000613,-2.222544,0.001055,30,812.773568
163,0.181212,0.329120,-0.000152,0.000931,-2.219422,0.002538,30,817.786497
164,0.190537,0.319795,-0.000129,0.000841,-2.216718,0.003445,26,822.811669
165,0.154263,0.356069,-0.000033,0.000592,-2.214219,0.003343,30,827.893620
166,0.210870,0.299462,-0.000062,0.001908,-2.211443,0.000369,30,832.928974
167,0.205428,0.304904,-0.000141,0.000635,-2.208949,0.002985,25,837.916170
168,0.166881,0.343451,-0.000003,0.001458,-2.206694,0.003446,24,842.844766
169,0.180788,0.329544,-0.000056,0.000481,-2.204512,0.003660,20,847.801473
170,0.203725,0.306607,-0.000249,0.002478,-2.202820,0.003033,15,852.688697
171,0.181605,0.328727,-0.000039,0.000999,-2.201318,0.004365,17,857.621718
172,0.178805,0.331527,0.000019,0.001138,-2.199007,0.000633,30,862.790909
173,0.177993,0.332339,-0.000032,0.000301,-2.196048,0.001822,30,868.250741
174,0.190596,0.319736,0.000022,0.000852,-2.193150,0.001795,30,873.831082
175,0.190825,0.319507,0.000099,0.000743,-2.190161,0.001213,30,879.312920
176,0.183799,0.326533,-0.000007,0.000407,-2.187206,0.000948,30,884.620811
177,0.179705,0.330627,0.000081,0.000412,-2.184288,0.000458,30,889.790536
178,0.186137,0.324195,0.000004,0.000734,-2.181348,0.000303,30,895.017181
179,0.162633,0.347699,0.000077,0.001212,-2.178381,0.000707,30,900.231621
180,0.176626,0.333706,0.000012,0.001018,-2.175388,0.001245,30,905.461584
181,0.186924,0.323408,-0.000028,0.000595,-2.172229,0.002353,30,910.651440
182,0.177211,0.333120,-0.000058,0.000480,-2.169447,0.002119,30,915.904925
183,0.181748,0.328584,-0.000188,0.000506,-2.166558,0.000782,30,921.068369
184,0.188355,0.321977,0.000025,0.000325,-2.163589,0.000265,30,926.224105
185,0.157782,0.352549,-0.000038,0.000719,-2.160722,0.000163,30,931.381781
186,0.167377,0.342955,-0.000000,0.000554,-2.157805,0.001465,30,936.499951
187,0.173351,0.336981,-0.000057,0.000354,-2.154781,0.000123,30,941.707318
188,0.172327,0.338005,-0.000039,0.000765,-2.151810,0.000035,30,946.826633
189,0.177362,0.332970,-0.000078,0.000770,-2.148939,0.002538,30,951.996700
190,0.174012,0.336320,-0.000021,0.000340,-2.145822,0.000773,30,957.204543
191,0.188091,0.322241,-0.000235,0.001307,-2.143280,0.003083,20,962.320604
192,0.186091,0.324241,-0.000055,0.000858,-2.141024,0.000436,30,967.598852
193,0.181564,0.328768,-0.000025,0.000315,-2.138315,0.001138,30,972.860438
194,0.175897,0.334435,0.000065,0.000752,-2.135423,0.000795,30,977.990954
195,0.162367,0.347965,-0.000059,0.000880,-2.132425,0.001022,30,983.150320
196,0.188506,0.321826,-0.000065,0.000744,-2.129447,0.001296,30,988.306668
197,0.169206,0.341125,-0.000048,0.000332,-2.126482,0.000807,30,993.463983
198,0.185853,0.324479,0.000046,0.001653,-2.123363,0.001080,30,998.540131
199,0.169852,0.340479,-0.000113,0.000464,-2.120542,0.002875,26,1003.558011
200,0.185642,0.324690,0.000046,0.000472,-2.117940,0.001557,30,1008.684256
201,0.180522,0.329810,0.000004,0.000498,-2.115064,0.002449,30,1013.817598
202,0.184177,0.326155,0.000134,0.000804,-2.112003,0.001176,30,1018.930604
203,0.182569,0.327763,-0.000107,0.000973,-2.108973,0.001857,30,1023.968644
204,0.216562,0.293770,0.000051,0.000750,-2.105987,0.001476,30,1029.107815
205,0.175500,0.334832,-0.000040,0.000603,-2.103144,0.001550,30,1034.210772
206,0.202724,0.307608,-0.000083,0.002631,-2.101093,0.003158,14,1039.119306
207,0.208895,0.301437,0.000175,0.001094,-2.099222,0.000757,30,1044.245379
208,0.173263,0.337068,-0.000087,0.000813,-2.096410,0.001781,30,1049.285043
209,0.174807,0.335524,-0.000007,0.000768,-2.093578,0.001411,30,1054.262336
210,0.169937,0.340395,-0.000012,0.001538,-2.090567,0.000864,30,1059.197206
211,0.172646,0.337685,0.000087,0.000961,-2.087840,0.002835,24,1064.197475
212,0.184663,0.325668,-0.000074,0.001035,-2.085406,0.002634,28,1069.221612
213,0.192309,0.318023,0.000000,0.000696,-2.082915,0.001947,27,1074.299303
214,0.188810,0.321522,-0.000186,0.000907,-2.080244,0.004290,26,1079.411853
215,0.241574,0.268758,-0.000628,0.004271,-2.078144,0.003338,15,1084.320913
216,0.184822,0.325510,-0.000092,0.002084,-2.076745,0.004226,15,1089.294436
