episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
76,0.034805,-0.031021,0.000013,0.000009,-2.348859,0.001391,30,345.551710
77,0.034996,-0.031212,-0.000011,0.000009,-2.346323,0.002879,20,349.407113
78,0.033529,-0.029744,-0.000008,0.000008,-2.343793,0.000614,30,353.800385
79,0.033778,-0.029993,-0.000003,0.000009,-2.341260,0.002911,20,358.708078
80,0.032579,-0.028795,-0.000018,0.000008,-2.339135,0.003841,22,362.950922
81,0.030935,-0.027151,-0.000010,0.000008,-2.336509,0.003160,30,367.230672
82,0.032130,-0.028346,0.000003,0.000008,-2.333474,0.002173,30,371.551335
83,0.032514,-0.028730,-0.000004,0.000008,-2.331248,0.003236,14,375.399198
84,0.031180,-0.027396,-0.000016,0.000009,-2.330036,0.003834,10,379.339273
85,0.029923,-0.026139,-0.000012,0.000007,-2.328022,0.003821,30,383.343033
86,0.029432,-0.025648,-0.000015,0.000007,-2.325005,0.000960,30,387.448870
87,0.028725,-0.024941,-0.000010,0.000007,-2.321975,0.002417,30,391.510791
88,0.027703,-0.023919,0.000003,0.000007,-2.318982,0.003330,29,395.477696
89,0.026101,-0.022316,-0.000004,0.000007,-2.316005,0.001128,30,400.136025
90,0.025838,-0.022053,0.000008,0.000006,-2.312978,0.001384,30,404.389047
91,0.025390,-0.021606,-0.000019,0.000006,-2.309959,0.002398,30,408.556389
92,0.025621,-0.021837,0.000011,0.000006,-2.306941,0.001641,30,412.725686
93,0.025990,-0.022206,-0.000004,0.000006,-2.304319,0.003338,22,416.651515
94,0.024705,-0.020921,-0.000005,0.000006,-2.301711,0.001360,30,420.844082
95,0.024104,-0.020320,0.000005,0.000006,-2.298703,0.002619,30,424.871323
96,0.023670,-0.019886,-0.000008,0.000005,-2.296301,0.002777,18,428.847890
97,0.022552,-0.018768,-0.000008,0.000005,-2.293899,0.002409,30,433.033248
98,0.021958,-0.018174,-0.000005,0.000005,-2.290892,0.002482,30,438.205538
99,0.020434,-0.016650,-0.000019,0.000006,-2.288226,0.003902,23,443.294046
100,0.019634,-0.015850,0.000002,0.000005,-2.285560,0.001737,30,448.437971
101,0.018622,-0.014838,-0.000002,0.000005,-2.282542,0.000874,30,453.538069
102,0.018973,-0.015189,-0.000000,0.000004,-2.279525,0.000236,30,458.942607
103,0.019305,-0.015521,-0.000005,0.000005,-2.276515,0.001266,30,464.068186
104,0.018454,-0.014670,-0.000010,0.000004,-2.273507,0.003200,30,469.335942
