episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,lr,wall_time
69,0.000388,0.898368,-0.000139,0.001703,-0.070409,0.004318,16,0.000100,301.361417
70,0.000303,0.920684,-0.000255,0.001295,-0.067951,0.002208,30,0.000100,305.806399
71,0.000442,0.884335,-0.000292,0.002408,-0.065250,0.003783,19,0.000100,310.045336
72,0.000308,0.919437,-0.000213,0.001919,-0.062829,0.004817,30,0.000100,314.543575
73,0.000301,0.921152,-0.000121,0.001190,-0.060181,0.003181,30,0.000100,318.960905
74,0.000396,0.896206,-0.000071,0.002702,-0.058514,0.002947,10,0.000100,323.271674
75,0.000256,0.933075,-0.000122,0.001321,-0.056747,0.004229,30,0.000100,327.835433
76,0.000369,0.903469,0.000124,0.001972,-0.054887,0.003221,12,0.000100,331.946085
77,0.000274,0.928293,-0.000077,0.002032,-0.053898,0.003526,11,0.000100,336.252110
78,0.000240,0.937102,-0.000092,0.001254,-0.052876,0.004055,12,0.000100,340.534886
79,0.000200,0.947578,-0.000401,0.000817,-0.051615,0.003278,14,0.000100,344.885311
80,0.000372,0.902562,-0.000288,0.003954,-0.050585,0.004279,7,0.000100,349.047621
81,0.000205,0.946327,-0.000024,0.001252,-0.049114,0.006797,24,0.000100,353.338945
82,0.000263,0.931117,-0.000078,0.000932,-0.046471,0.003171,30,0.000100,357.708853
83,0.000448,0.882566,-0.000617,0.005391,-0.044896,0.003852,6,0.000100,361.969711
84,0.000248,0.935098,0.000095,0.001594,-0.044439,0.004412,7,0.000100,366.022997
85,0.000223,0.941489,-0.000143,0.001072,-0.043038,0.006046,30,0.000100,370.199663
86,0.000239,0.937536,-0.000177,0.000706,-0.041366,0.002761,16,0.000100,374.495995
87,0.000327,0.914345,-0.000104,0.001119,-0.039874,0.004049,14,0.000100,378.730589
88,0.000514,0.865361,-0.000446,0.004166,-0.038850,0.004667,5,0.000100,382.725583
89,0.000378,0.901011,-0.000326,0.006783,-0.038403,0.004095,3,0.000100,386.990155
